type	latitude	longitude	utm_zone	utm_easting	utm_northing	altitude (m)	name	desc
T	41.383597000	2.115791000	31T	426069.1	4581718.5	-1.0	00_IRI	stroke=#2593d9<br> fill=#2593d9<br> stroke-opacity=1<br> stroke-width=3
T	41.383765000	2.116480000	31T	426126.9	4581736.6	-1.0		
T	41.383774000	2.116515000	31T	426129.8	4581737.6	-1.0		
T	41.383684000	2.116559000	31T	426133.4	4581727.5	-1.0		
T	41.383592000	2.116601000	31T	426136.8	4581717.3	-1.0		
T	41.383485000	2.116646000	31T	426140.5	4581705.4	-1.0		
T	41.383377000	2.116697000	31T	426144.6	4581693.3	-1.0		
T	41.383268000	2.116747000	31T	426148.7	4581681.2	-1.0		
T	41.383159000	2.116794000	31T	426152.5	4581669.1	-1.0		
T	41.383048000	2.116840000	31T	426156.2	4581656.7	-1.0		
T	41.383021000	2.116730000	31T	426147.0	4581653.8	-1.0		
T	41.382864000	2.116094000	31T	426093.6	4581636.9	-1.0		
T	41.382645000	2.115230000	31T	426021.1	4581613.3	-1.0		
